Herb Name,Scientific Name,Traditional Use,Preparation,Region,Season
Aloe Vera,Aloe barbadensis,Soothing burns and skin irritations,Juice from leaves,Various,Year-round
African Potato,Hypoxis hemerocallidea,Immune booster,Tincture from tubers,Eastern Cape,Summer
Sutherlandia,Sutherlandia frutescens,Stress relief and anti-inflammatory,Tea from leaves,Western Cape,Year-round
Honeybush,Cyclopia spp.,Digestive health and relaxation,Infusion from dried leaves,Western Cape,Summer
Devil's Claw,Harpagophytum procumbens,Pain relief,Decoction of root,North West,Year-round
Baobab,Adansonia digitata,Rich in vitamin C,Raw fruit pulp or powder,Limpopo,Year-round
Moringa,Moringa oleifera,Nutritional supplement,Leaves eaten raw or powdered,Kwazulu-Natal,Year-round
Rooibos,Aspalathus linearis,Antioxidant and calming,Infusion from leaves,Western Cape,Year-round
Marula,Sclerocarya birrea,Rich in vitamin C and hydration,Juice from fruit,Limpopo,Summer
Lemon Balm,Melissa officinalis,Anxiety relief and digestive aid,Tea from leaves,Various,Year-round
Wild Garlic,Allium ursinum,Respiratory health,Infusion of leaves,Various,Summer
Marshmallow,Althaea officinalis,Soothing coughs and throat,Tea from roots,Various,Year-round
Cape Chamomile,Eriocephalus punctulatus,Anxiety and insomnia relief,Infusion from flowers,Western Cape,Summer
Buchu,Agathosma betulina,Anti-inflammatory and urinary health,Tea from leaves,Western Cape,Year-round
Fever Tree,Vachellia xanthophloea,Antimicrobial properties,Infusion of bark,Northern Cape,Year-round
Hoodia,Hoodia gordonii,Appetite suppressant,Raw plant or capsules,Northern Cape,Summer
Stinkwood,Ocotea bullata,Respiratory issues,Decoction of leaves,Eastern Cape,Year-round
Sage,Salvia officinalis,Digestive aid and antibacterial,Infusion from leaves,Various,Year-round
Bitter Aloe,Aloe ferox,Digestive aid and skin health,Juice from leaves,Western Cape,Year-round
Catnip, Nepeta cataria,Relaxation and digestive aid,Tea from leaves,Various,Year-round
Peppermint,Mentha piperita,Digestive aid and headache relief,Tea from leaves,Various,Year-round
